정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,도로명 주소
GGB233000788,장안대학,37.21365,126.944,2023-10-16,36113,31240,경기도 화성시,경기,경기 화성시 봉담읍 왕림리 8-3
GGB233000789,왕림휴게소,37.2039667,126.9428167,2023-10-16,36110,31240,경기도 화성시,경기,경기 화성시 봉담읍 상리 산 27-6
GGB233000790,왕림리.상기리입구,37.1972,126.9399667,2023-10-16,36102,31240,경기도 화성시,경기,경기 화성시 영천동 784
GGB233000971,일진정공,37.2029667,127.1295333,2023-10-16,36500,31240,경기도 화성시,경기,경기 화성시 영천동 772
GGB233000972,일진정공,37.2030667,127.1290833,2023-10-16,36499,31240,경기도 화성시,경기,경기 화성시 봉담읍 왕림리 112-4
GGB233000973,호반6차.제일풍경채,37.15635,127.1115667,2023-10-16,55685,31240,경기도 화성시,경기,경기 화성시 장지동 1102
GGB233000978,한화.린스트라우스,37.19535,127.0990167,2023-10-16,36466,31240,경기도 화성시,경기,경기 화성시 청계동 560
GGB233000979,포스코더샵.롯데캐슬,37.1999,127.0990167,2023-10-16,36465,31240,경기도 화성시,경기,경기 화성시 청계동 560
GGB233000980,모아.반도1차아파트,37.20205,127.11455,2023-10-16,36459,31240,경기도 화성시,경기,경기 화성시 청계동 554
GGB233000981,포레너스아파트,37.2053667,127.1158667,2023-10-16,36434,31240,경기도 화성시,경기,경기 화성시 영천동 707-4
GGB233000983,산수유,37.1809333,127.07815,2023-10-16,36411,31240,경기도 화성시,경기,경기 화성시 금곡동 726-3
GGB233000984,산수유,37.1809,127.0780667,2023-10-16,36413,31240,경기도 화성시,경기,경기 화성시 금곡동 204-2
GGB233000985,대영가든,37.1780167,127.07965,2023-10-16,36422,31240,경기도 화성시,경기,경기 화성시 장안면 장안리 1540-3
GGB233000986,금곡1리,37.1714667,127.0790833,2023-10-16,36419,31240,경기도 화성시,경기,경기 화성시 금곡동 730-4
GGB233000987,DS.LCD,37.1681833,127.0786167,2023-10-16,37598,31240,경기도 화성시,경기,경기 화성시 금곡동 544-1
GGB233000988,장명초등학교,37.0571167,126.8554833,2023-10-16,36709,31240,경기도 화성시,경기,경기 화성시 장안면 장안리 115-12
GGB233000989,장명초등학교,37.0569833,126.8555833,2023-10-16,36708,31240,경기도 화성시,경기,경기 화성시 금곡동 730-16
GGB233000990,장안6리,37.0499833,126.8546333,2023-10-16,37479,31240,경기도 화성시,경기,경기 화성시 장안면 사곡리 산 64-4
GGB233000991,장안6리,37.04985,126.85465,2023-10-16,36798,31240,경기도 화성시,경기,경기 화성시 장안면 장안리 573-3
GGB233000992,장안여자중학교,37.07855,126.8152333,2023-10-16,36797,31240,경기도 화성시,경기,경기 화성시 오산동 1078
GGB233000993,사곡1리,37.0690833,126.8092167,2023-10-16,37478,31240,경기도 화성시,경기,경기 화성시 장안면 사곡리 83-9
GGB233000994,공공청사부지,37.18705,127.0999167,2023-10-16,36480,31240,경기도 화성시,경기,경기 화성시 장안면 장안리 577-2
GGB233000995,의료시설부지,37.1876,127.10015,2023-10-16,36477,31240,경기도 화성시,경기,경기 화성시 송동 736
GGB233000996,반도3차.금강1차,37.1801833,127.1032,2023-10-16,36488,31240,경기도 화성시,경기,경기 화성시 오산동 1078
GGB233000997,레이크빌.하우스디더레이크,37.1760167,127.1051833,2023-10-16,36494,31240,경기도 화성시,경기,경기 화성시 오산동 1078
GGB233000998,헤리엇.리베라CC,37.1907333,127.0985667,2023-10-16,36502,31240,경기도 화성시,경기,경기 화성시 오산동 1078
GGB233000999,리베라CC.헤리엇,37.1907333,127.0990167,2023-10-16,36501,31240,경기도 화성시,경기,경기 화성시 오산동 1080
GGB233001000,화성시청후문,37.2001333,126.8288667,2023-10-16,36507,31240,경기도 화성시,경기,경기 화성시 우정읍 매향리 630-3
GGB233001001,화성시청후문,37.1999667,126.8291167,2023-10-16,36510,31240,경기도 화성시,경기,경기 화성시 양감면 송산리 458-2
GGB233001002,송산교차로,37.1066833,126.9874167,2023-10-16,36509,31240,경기도 화성시,경기,경기 화성시 우정읍 화산리 산 149-4
GGB233001003,석천2리입구,37.0573667,126.7820333,2023-10-16,37477,31240,경기도 화성시,경기,경기 화성시 남양읍 남양리 2144-3
GGB233001004,양지편,37.0484333,126.7650667,2023-10-16,36796,31240,경기도 화성시,경기,경기 화성시 남양읍 남양리 2144-3
GGB233001007,기아후문입구,37.0435,126.758,2023-10-16,37476,31240,경기도 화성시,경기,경기 화성시 우정읍 매향리 986-4
GGB233001008,기아후문입구,37.04345,126.7583333,2023-10-16,36832,31240,경기도 화성시,경기,경기 화성시 우정읍 화산리 산 77-17
GGB233001009,매향삼거리,37.04055,126.7518167,2023-10-16,36831,31240,경기도 화성시,경기,경기 화성시 우정읍 화산리 산 131-6
GGB233001010,화산1리입구,37.0608833,126.7878667,2023-10-16,37475,31240,경기도 화성시,경기,경기 화성시 우정읍 매향리 848-23
GGB233001011,화산삼거리,37.0628667,126.79335,2023-10-16,37474,31240,경기도 화성시,경기,경기 화성시 우정읍 매향리 899-3
GGB233001012,윗머드내.평화약국,37.1290667,127.0127667,2023-10-16,37917,31240,경기도 화성시,경기,경기 화성시 향남읍 동오리 산 229-1
GGB233001015,화성드림파크,37.0467167,126.76175,2023-10-16,36799,31240,경기도 화성시,경기,경기 화성시 우정읍 매향리 산 125-19
GGB233001016,화성드림파크,37.0468833,126.7621167,2023-10-16,36830,31240,경기도 화성시,경기,경기 화성시 우정읍 매향리 산 46-4
GGB233001017,동오리,37.1309167,126.9593833,2023-10-16,37326,31240,경기도 화성시,경기,경기 화성시 향남읍 동오리 581-4
GGB233001018,아시아자동차,37.1313333,126.96285,2023-10-16,37329,31240,경기도 화성시,경기,경기 화성시 향남읍 동오리 산229-1
GGB233001019,갈천리,37.1248167,126.9769667,2023-10-16,37334,31240,경기도 화성시,경기,경기 화성시 향남읍 송곡리 444
GGB233001020,관리고개,37.1341833,126.94055,2023-10-16,37310,31240,경기도 화성시,경기,경기 화성시 향남읍 행정리 479-2
